料理の種類,料理名,エネルギー[キロカロリー],たんぱく質[グラム],脂質[グラム],炭水化物[グラム],食塩相当量[グラム],野菜量[グラム],材料1＿材料名,材料1＿重量[グラム],材料2＿材料名,材料2＿重量[グラム],材料3＿材料名,材料3＿重量[グラム],材料4＿材料名,材料4＿重量[グラム],材料5＿材料名,材料5＿重量[グラム],材料6＿材料名,材料6＿重量[グラム],材料7＿材料名,材料7＿重量[グラム],材料8＿材料名,材料8＿重量[グラム],材料9＿材料名,材料9＿重量[グラム],材料10＿材料名,材料10＿重量[グラム],材料11＿材料名,材料11＿重量[グラム],材料12＿材料名,材料12＿重量[グラム],材料13＿材料名,材料13＿重量[グラム],材料14＿材料名,材料14＿重量[グラム],材料15＿材料名,材料15＿重量[グラム],材料16＿材料名,材料16＿重量[グラム],材料17＿材料名,材料17＿重量[グラム],材料18＿材料名,材料18＿重量[グラム],材料19＿材料名,材料19＿重量[グラム],材料20＿材料名,材料20＿重量[グラム],,
野菜料理＿煮物,大根の煮物,53,1.8,0.2,11.9,1.6,150.0,大根・根、皮つき＿生,150,かつお・昆布だし,100,車糖・上白糖,4.5,こいくちしょうゆ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,かぼちゃの煮物,124,2.5,0.3,26.7,1.0,100.0,かぼちゃ（西洋）＿生,100,昆布だし,70,こいくちしょうゆ,6,清酒・上撰,7.5,車糖・上白糖,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,切干大根の煮物,116,2.4,5.7,13.1,1.4,78.0,大根・切り干し大根,10,にんじん・根、皮つき＿生,5,油揚げ,5,調合油,4,かつお・昆布だし,66,こいくちしょうゆ,9,車糖・上白糖,4.5,清酒・上撰,5,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,若竹煮,50,3.5,0.3,10.5,1.2,105.0,たけのこ・若茎＿ゆで,80,湯通し塩蔵わかめ＿塩抜き,25,かつお・昆布だし,50,こいくちしょうゆ,2,みりん風調味料,9,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,小松菜と桜えびの炒め煮,37,2.5,1.7,2.8,0.4,55.0,こまつな・葉＿生,55,さくらえび＿素干し,1.5,ごま油,1.5,かつお・かつお節,0.7,うすくちしょうゆ,2.5,みりん・本みりん,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,炊き合わせ,92,3.7,0.6,17.6,0.9,100.0,若鶏・もも、皮なし＿生,10,大根・根、皮つき＿生,50,かぼちゃ（西洋）＿生,30,ごぼう・根＿生,20,こいくちしょうゆ,6,車糖・上白糖,3,みりん・本みりん,6,かつお・昆布だし,50,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,なすのおろし煮,60,1.1,3.1,6.8,0.5,100.0,なす＿生,60,調合油,3,大根・根、皮つき＿生,40,かつお・昆布だし,30,うすくちしょうゆ,3,みりん・本みりん,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,ごろごろ野菜のポトフ＿カレー風味,222,12.9,13.3,12.3,1.5,80.0,若鶏・手羽、皮つき＿生,60,カレー粉,1.5,じゃがいも＿生,30,にんじん・根、皮つき＿生,20,キャベツ＿生,40,ブロッコリー・花序＿生,20,調合油,4,固形コンソメ,2.65,食塩,0.2,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,こんにゃく土佐煮,32,1.9,0.1,5.6,1.1,0.0,板こんにゃく（精粉こんにゃく）,80,かつおだし,100,みりん・本みりん,7,こいくちしょうゆ,7,かつお・削り節,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,ひじき煮,90,4.7,4.7,9.4,1.2,56.8,ひじき・ほしひじき,6,にんじん・根、皮つき＿生,10,油揚げ,8,大豆・水煮缶詰,15,調合油,1,かつお・昆布だし,50,こいくちしょうゆ,6,車糖・上白糖,3,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,千切りキャベツ（ドレッシングなし）,7,0.4,0.1,1.6,0.0,30.0,キャベツ＿生,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,ミニトマト（1個）,3,0.1,0.0,0.7,0.0,10.0,トマト・ミニトマト＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,ブロッコリー（小房1個）,3,0.4,0.1,0.5,0.0,10.0,ブロッコリー・花序＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,人参のグラッセ（1個）,15,0.1,0.8,2.0,0.0,15.0,にんじん・根、皮つき＿生,15,有塩バター,1,車糖・上白糖,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,里芋の含め煮,104,2.2,0.1,22.8,0.8,0.0,さといも＿生,130,昆布だし,100,車糖・上白糖,4.5,清酒・上撰,5,食塩,0.3,こいくちしょうゆ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつま芋の天ぷら（輪切り1枚）,127,1.1,8.5,10.9,0.1,0.0,さつまいも＿生,25,鶏卵・全卵＿生,4,薄力粉・1等,4,食塩,0.1,調合油,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつまいものデリ風サラダ,146,2.1,5.8,21.7,0.4,15.0,さつまいも＿生,50,豚・ベーコン・ベーコン,4,グリーンピース＿冷凍,5,スイートコーン・未熟・ホール＿冷凍,5,にんじん・根＿冷凍,5,マヨネーズ・全卵型,4,からし・粒入りマスタード,6,はちみつ,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつまいもの白和え,109,3.9,3.4,16.1,0.6,0.0,さつまいも＿生,30,木綿豆腐,35,ぎんなん＿生,2,ごま＿いり,3,車糖・上白糖,4,こいくちしょうゆ,1.5,米みそ・淡色辛みそ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,ジャーマンポテト,95,1.7,4.7,12.2,0.4,33.0,じゃがいも＿生,50,たまねぎ・りん茎＿生,20,しめじ・ぶなしめじ＿生,10,調合油,4,にんにく・りん茎＿生,1,固形コンソメ,0.7,こしょう・混合、粉,0.01,からし・粒入りマスタード,3,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつまいものレモン煮,86,0.6,0.1,20.8,0.0,0.0,さつまいも＿生,50,車糖・上白糖,5,レモン・果汁＿生,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,山芋のカレー煮,131,8.0,5.0,12.0,1.0,5.0,やまのいも・ながいも＿生,60,豚・かた・皮下脂肪なし＿生,30,かつお・昆布だし,50,カレー粉,0.5,調合油,2,清酒・上撰,5,車糖・上白糖,2,こいくちしょうゆ,6,こねぎ・葉＿生,5,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豆腐とわかめのみそ汁,32,2.5,1.3,3.0,1.5,24.0,絹ごし豆腐,20,カットわかめ,1,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,もやしと油揚げのみそ汁,53,3.4,3.0,3.4,1.3,43.0,ブラックマッペもやし＿生,40,油揚げ,7,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,大根と油揚げのみそ汁,56,2.9,3.1,4.4,1.3,53.0,大根・根、皮つき＿生,50,油揚げ,7,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,なめこ汁,32,2.6,1.2,4.0,1.3,33.0,なめこ＿生,30,絹ごし豆腐,15,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,具だくさん味噌汁,43,1.9,0.5,8.2,1.0,43.0,さといも＿生,20,にんじん・根、皮つき＿生,10,ごぼう・根＿生,10,板こんにゃく（精粉こんにゃく）,10,大根・根、皮つき＿生,20,米みそ・淡色辛みそ,7,かつお・昆布だし,120,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,だご汁,228,9.2,5.3,35.6,1.5,74.4,薄力粉・1等,30,豚・ロース・脂身つき＿生,20,乾ししいたけ＿乾,2,ごぼう・根＿生,20,さといも＿生,30,にんじん・根、皮つき＿生,10,大根・根、皮つき＿生,30,煮干しだし,180,米みそ・淡色辛みそ,10,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豚汁,104,6.1,2.8,13.7,1.2,68.0,豚・もも・脂身つき＿生,20,大根・根、皮つき＿生,30,にんじん・根、皮つき＿生,15,さといも・みずいも＿生,20,ごぼう・根＿生,20,煮干しだし,150,米みそ・淡色辛みそ,5,麦みそ,4,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,あさりのみそ汁,26,2.7,0.6,2.2,1.7,3.0,あさり＿生,25,こねぎ・葉＿生,3,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,大根のすまし汁,18,1.1,0.1,3.9,1.0,53.0,大根・根、皮つき＿生,20,にんじん・根、皮つき＿生,20,しめじ・ぶなしめじ＿生,10,かつお・昆布だし,150,うすくちしょうゆ,2,食塩,0.5,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豆腐とえのきのすまし汁,23,2.0,0.6,2.2,1.0,13.0,絹ごし豆腐,20,えのきたけ＿生,10,こねぎ・葉＿生,3,かつお・昆布だし,150,食塩,0.3,清酒・上撰,3.3,うすくちしょうゆ,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豆腐とわかめのすまし汁,22,1.9,0.6,1.9,1.3,24.0,絹ごし豆腐,20,カットわかめ,1,こねぎ・葉＿生,3,かつお・昆布だし,150,食塩,0.3,清酒・上撰,3,うすくちしょうゆ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,かき玉汁,47,3.7,2.6,2.0,1.1,3.0,鶏卵・全卵＿生,25,かつお・昆布だし,150,食塩,0.6,うすくちしょうゆ,1.5,じゃがいもでん粉,1.5,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,卵豆腐のすまし汁,30,2.6,1.5,1.7,1.1,5.0,かつお・昆布だし,150,食塩,0.4,うすくちしょうゆ,1.5,たまご豆腐,30,焼きふ・観世ふ,0.5,切りみつば・葉＿生,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,若竹汁,14,1.6,0.1,2.4,1.2,41.0,たけのこ・若茎＿ゆで,20,カットわかめ,1,うすくちしょうゆ,5,清酒・上撰,1,かつお・昆布だし,130,レモン・全果＿生,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,とろろ梅のお吸い物,17,1.5,0.2,3.1,0.9,8.0,削り昆布,3,梅干し＿調味漬,3,切りみつば・葉＿生,5,焼きふ・観世ふ,1,かつおだし,150,こいくちしょうゆ,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,押し麦とわかめのすまし汁,50,1.3,2.1,7.2,0.8,33.0,大麦・押麦,5,湯通し塩蔵わかめ＿塩抜き,13,ごぼう・根＿生,10,たまねぎ・りん茎＿生,10,ごま油,2,かつお・昆布だし,130,食塩,0.3,うすくちしょうゆ,1.5,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,コーンスープ,109,4.3,4.1,14.2,1.1,57.0,スイートコーン・缶詰、クリームスタイル,40,たまねぎ・りん茎＿生,15,普通牛乳,100,固形コンソメ,1,食塩,0.3,こしょう・白、粉,0.01,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,かぼちゃのポタージュ,69,2.1,1.3,12.5,0.5,67.0,かぼちゃ（西洋）＿生,40,たまねぎ・りん茎＿生,25,固形コンソメ,1,普通牛乳,30,こしょう・白、粉,0.01,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,かぶのポタージュ,107,3.3,7.0,7.8,1.0,80.0,かぶ・根、皮つき＿生,70,かぶ・葉＿生,10,固形コンソメ,1.3,有塩バター,5,普通牛乳,75,食塩,0.3,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,オニオンスープ,114,2.8,6.0,12.3,0.7,82.0,たまねぎ・りん茎＿生,80,有塩バター,6,薄力粉・1等,6,固形コンソメ,1,こしょう・白、粉,0.01,ナチュラルチーズ・パルメザン,3,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,春キャベツの具沢山ミルクスープ,92,3.1,1.5,16.6,0.9,30.0,キャベツ＿生,25,じゃがいも＿生,40,固形コンソメ,2,スイートコーン・缶詰、ホールカーネルスタイル,5,マカロニ・スパゲッティ＿乾,7,普通牛乳,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,じゃがいものコンソメスープ,35,0.9,0.1,7.6,1.2,20.0,じゃがいも＿生,30,さやいんげん・若ざや＿生,10,にんじん・根、皮つき＿生,10,固形コンソメ,2,清酒・上撰,1,食塩,0.3,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,もやしとわかめのコンソメスープ,26,2.1,1.3,1.5,0.9,41.0,ブラックマッペもやし＿生,20,カットわかめ,1,鶏卵・全卵＿生,12,固形コンソメ,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,にら玉スープ,27,3.2,1.1,1.4,0.6,35.0,にら・葉＿生,15,鶏卵・全卵＿生,10,ブラックマッペもやし＿生,20,中華だし,150,うすくちしょうゆ,2.5,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,牛乳（コップ1杯）,101,5.0,5.7,7.2,0.2,0.0,普通牛乳,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,ヨーグルト（プレーン）（ミニカップ1個）,43,2.5,2.1,3.4,0.1,0.0,ヨーグルト・全脂無糖,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,ヨーグルト（加糖）（ミニカップ1個）,47,3.0,0.1,8.3,0.1,0.0,ヨーグルト・脱脂加糖,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,ヨーグルト（ドリンクタイプ）（1本）,88,3.9,0.7,16.5,0.1,0.0,ヨーグルト・ドリンクタイプ,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,6Pチーズ（1個）,85,5.7,6.5,0.3,0.7,0.0,プロセスチーズ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,スライスチーズ（1枚）,61,4.1,4.7,0.2,0.5,0.0,プロセスチーズ,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,バナナ（M1本）,101,1.3,0.2,26.3,0.0,0.0,バナナ＿生,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,みかん（M1個）,40,0.6,0.1,10.6,0.0,0.0,温州みかん・じょうのう・普通＿生,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,りんご（M1個）,129,0.5,0.2,34.7,0.0,0.0,りんご＿生,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,キウイフルーツ（1個）,54,1.0,0.1,13.8,0.0,0.0,キウイフルーツ＿生,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,いちご（1個）,3,0.1,0.0,0.8,0.0,0.0,いちご＿生,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,オレンジ（1個）,44,1.1,0.1,11.2,0.0,0.0,オレンジ・バレンシア・砂じょう＿生,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,グレープフルーツ（1個）,120,2.8,0.3,30.2,0.0,0.0,グレープフルーツ・砂じょう＿生,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,柿（M1個）,109,0.7,0.4,28.9,0.0,0.0,かき・甘がき＿生,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,梨（M1個）,92,0.6,0.2,24.1,0.0,0.0,なし・日本なし＿生,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,巨峰（1房）,142,1.0,0.2,37.7,0.0,0.0,ぶどう＿生,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,もも（M1個）,68,1.0,0.2,17.3,0.0,0.0,もも＿生,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,メロン（8分の1玉）,26,0.7,0.1,6.4,0.0,0.0,メロン・温室メロン＿生,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,スイカ（S　8分の1玉）,111,1.8,0.3,28.5,0.0,0.0,すいか＿生,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,りんごのコンポート,61,0.2,0.1,16.2,0.0,0.0,りんご＿生,80,車糖・上白糖,4.5,レモン・果汁＿生,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
軽食,たこ焼き（6個）,322,17.9,10.2,36.6,1.4,22.5,まだこ＿ゆで,30,キャベツ＿生,20,しょうが＿酢漬,2,鶏卵・全卵＿生,50,薄力粉・1等,40,調合油,4,ウスターソース・濃厚ソース,15,あおのり＿素干し,0.5,粉かつお,2,,,,,,,,,,,,,,,,,,,,,,,,
軽食,お好み焼き（1枚）,462,19.8,22.8,41.2,1.3,80.5,キャベツ＿生,80,豚・ロース・脂身つき＿生,40,薄力粉・1等,45,鶏卵・全卵＿生,50,かつお・昆布だし,100,食塩,0.5,調合油,6,ウスターソース・中濃ソース,6,マヨネーズ・全卵型,4,あおのり＿素干し,0.5,かつお・削り節,1,,,,,,,,,,,,,,,,,,,,
軽食,広島風お好み焼き（1枚）,622,24.2,24.1,72.3,1.0,110.5,薄力粉・1等,50,蒸し中華めん,70,豚・ロース・脂身つき＿生,40,キャベツ＿生,80,ブラックマッペもやし＿生,30,鶏卵・全卵＿生,50,調合油,6,ウスターソース・中濃ソース,6,マヨネーズ・全卵型,4,あおのり＿素干し,0.5,かつお・削り節,1,,,,,,,,,,,,,,,,,,,,
菓子,あめ（1個）,12,0.0,0.0,2.9,0.0,0.0,あめ玉,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,キャラメル（1個）,22,0.2,0.6,3.9,0.0,0.0,キャラメル,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,ポテトチップ（1袋60グラム）,332,2.8,21.1,32.8,0.6,0.0,ポテトチップス,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,ミルクチョコレート（1枚）,279,3.5,17.1,27.9,0.1,0.0,ミルクチョコレート,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,ショートケーキ（1切）,292,6.3,11.9,40.0,0.2,0.0,ショートケーキ,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,チョコレートケーキ（1切）,393,7.6,19.1,47.7,0.3,0.0,薄力粉・1等,15,ココア・ピュアココア,3.8,ベーキングパウダー,0.1,鶏卵・全卵＿生,25,車糖・上白糖,15,有塩バター,2.5,あんず・ジャム・高糖度,8.3,ブランデー,1.3,ミルクチョコレート,25,クリーム、植物性脂肪,12.5,,,,,,,,,,,,,,,,,,,,,,
菓子,アップルパイ（1個）,228,3.0,13.1,24.5,0.5,0.0,パイ・アップルパイ,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,シュークリーム（1個）,172,5.9,9.5,15.6,0.2,0.0,シュークリーム,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,コーヒーゼリー（1個）,45,1.7,0.0,9.5,0.0,0.0,ゼリー・コーヒー,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,オレンジゼリー（1個）,70,2.3,0.0,15.3,0.0,0.0,ゼリー・オレンジ,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,プリン（小1個）,113,5.0,4.5,13.2,0.2,0.0,カスタードプディング,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,アイスクリーム（1個）,189,4.1,8.4,24.4,0.3,0.0,アイスクリーム・普通脂肪,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,回転饅頭（今川焼）（1個）,200,4.0,1.0,43.7,0.2,0.0,今川焼,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,どら焼き（1個）,227,5.0,2.1,47.1,0.2,0.0,どら焼,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,串団子（醤油味）（1本）,158,2.5,0.3,36.2,0.5,0.0,くし団子・しょうゆ,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,蒸饅頭（1個）,117,2.2,0.2,26.6,0.1,0.0,蒸しまんじゅう,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,さくら餅（関西風）（1個）,100,1.7,0.1,23.1,0.1,0.0,桜もち・関西風,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,練ようかん（1切）,148,1.8,0.1,35.0,0.0,0.0,練りようかん,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菓子,水ようかん（1個）,137,2.1,0.1,32.0,0.1,0.0,水ようかん,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,煎茶（1杯）,2,0.2,0.0,0.2,0.0,0.0,せん茶・浸出液,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,番茶（1杯）,0,0.0,0.0,0.1,0.0,0.0,番茶・浸出液,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,麦茶（1杯）,2,0.0,0.0,0.5,0.0,0.0,麦茶・浸出液,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,コーヒー（ブラック）（1杯）,6,0.3,0.0,1.1,0.0,0.0,コーヒー・浸出液,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,カフェオレ（砂糖なし）（1杯）,53,2.6,2.9,4.1,0.1,0.0,コーヒー・浸出液,75,普通牛乳,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,紅茶（砂糖なし）（1杯）,2,0.2,0.0,0.2,0.0,0.0,紅茶・浸出液,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,ミルクティー（砂糖なし）（1杯）,51,2.6,2.9,3.7,0.1,0.0,紅茶・浸出液,75,普通牛乳,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,レモンティー（砂糖なし）（1杯）,2,0.2,0.0,0.3,0.0,0.0,紅茶・浸出液,150,レモン・果汁＿生,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,ビール（350ミリリットル缶1本）,142,1.1,0.0,11.0,0.0,0.0,ビール・淡色,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,ビール（大ビン1本）,256,1.9,0.0,19.8,0.0,0.0,ビール・淡色,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,発泡酒（350ミリリットル缶1本）,159,0.4,0.0,12.7,0.0,0.0,発泡酒,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,日本酒（1合）,196,0.7,0.0,8.8,0.0,0.0,清酒・上撰,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,焼酎（100ミリリットル）,142,0.0,0.0,0.0,0.0,0.0,しょうちゅう・乙類,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,ウイスキー（シングル1杯）,69,0.0,0.0,0.0,0.0,0.0,ウイスキー,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,赤ワイン（ワイングラス1杯）,58,0.2,0.0,1.2,0.0,0.0,ぶどう酒・赤,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,白ワイン（ワイングラス1杯）,58,0.1,0.0,1.6,0.0,0.0,ぶどう酒・白,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,コーラ（ペットボトル1本）,230,0.5,0.0,57.0,0.0,0.0,炭酸飲料・コーラ,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,サイダー（ペットボトル1本）,205,0.0,0.0,51.0,0.0,0.0,炭酸飲料・サイダー,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,塩（1つまみ）,0,0.0,0.0,0.0,1.0,0.0,食塩,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,塩（1ふり）,0,0.0,0.0,0.0,0.5,0.0,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,醤油（1かけ）,3,0.3,0.0,0.4,0.6,0.0,こいくちしょうゆ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,砂糖（小さじ1）,12,0.0,0.0,3.0,0.0,0.0,車糖・上白糖,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,グラニュー糖（小ステック1本）,12,0.0,0.0,3.0,0.0,0.0,ざらめ糖・グラニュー糖,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,中濃ソース（小さじ1）,8,0.0,0.0,1.8,0.3,0.0,ウスターソース・中濃ソース,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,トマトケチャップ（1かけ）,7,0.1,0.0,1.6,0.2,0.0,トマト加工品・ケチャップ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,トマトケチャップ（スティック1本）,14,0.2,0.0,3.3,0.4,0.0,トマト加工品・ケチャップ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,マヨネーズ（1かけ）,35,0.1,3.8,0.2,0.1,0.0,マヨネーズ・全卵型,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
